Samp_no,Date,Species,Month,Colony,Fv.Fm,Ik,rETRmax,Alpha,SA_cm2,Cells.cm2,Chl_pg.cell,Host_Proteins_mg.cm2,Host_Carbs_mg.cm2,Lipids_Host.mg.cm2.,Host_Stored_energy_J.cm2,Carbs_sym.pg.cell.,Proteins_sym.pg.cell.,Lipids_sym.pg.cell.,Sym_Stored_energy_uJ.cell
168,08/10/2021,Pocillopora,October,P8,0.69,8.408711434,46.332,5.51,7.477,2356238,0.51,0.51,0.09,0.08,17,24.56,28.248,11.514,1.56
169,03/11/2021,Pocillopora,November,P1,0.6,7.831694561,37.4355,4.78,5.546,2889697,1.01,0.56,0.11,0.36,29,19.68,46.046,7.522,1.74
170,03/11/2021,Pocillopora,November,P2,0.592,#DIV/0!,22.302,,6.374,1548527,1.42,0.44,0.09,0.19,20,25.02,34.866,38.301,2.78
171,03/11/2021,Pocillopora,November,P3,0.664,8.154973822,46.728,5.73,4.719,1247600,1.38,0.47,0.07,0.28,24,29.72,67.737,46.601,3.98
172,03/11/2021,Pocillopora,November,P4,0.622,6.559259259,31.878,4.86,3.34,1697549, ,0.5,0.08,0.28,24,43.99,63.052,56.483,4.51
173,03/11/2021,Pocillopora,November,P5,0.567,#DIV/0!,23.6295,,3.34,1904129,2.08,0.68,0.17,0.52,40,40.95,42.587,5.501,1.95
174,03/11/2021,Pocillopora,November,P6,0.601,10.31523179,46.728,4.53,8.856,2484781,1.78,0.57,0.07,0.15,21,33.58,40.381,19.959,2.34
175,03/11/2021,Pocillopora,November,P7,0.602,8.062025316,38.214,4.74,5.546,1851191,1.62,0.43,0.05,0.11,15,30.46, ,9.054,
176,03/11/2021,Pocillopora,November,P8,0.615,9.668207547,51.2415,5.3,3.616,824691, ,0.5,0.08,0.53,34,68.68, , ,
177,02/12/2021,Pocillopora,December,P1,0.624,,,,8.304,2834967,0.68,1.07,0.12,0.15,34,17.31,24.699,20.898,1.72
178,02/12/2021,Pocillopora,December,P2,0.633,,,,6.374,1752095,0.85,0.82,0.11,0.1,26,28.68,40.879,7.164,
179,02/12/2021,Pocillopora,December,P3,0.609,,,, , , , , , , ,, , ,
180,02/12/2021,Pocillopora,December,P4,0.633,,,,2.789,1734785,1.45,1.13,0.16,0.08,33,29.09,53.849,67.843,4.48
181,02/12/2021,Pocillopora,December,P5,0.58,,,,2.237,1307919,1.18,1.2,0.19,0.56,54,136.67,51.596,62.756,6.1
182,02/12/2021,Pocillopora,December,P6,0.629,,,,4.719,1695783,1.31,1.09,0.17,0.27,39,25.48,48.416,60.5,3.99
183,02/12/2021,Pocillopora,December,P7,0.638,,,,3.616,1281839,1.81,0.54,0.07,0.16, ,26.46,46.333,14.831,2.16
184,02/12/2021,Pocillopora,December,P8,0.634,,,,3.616,2063802,1.55,0.79,0.12,0.45,39,18.62,35.484,63.619,3.69
185,09/01/2022,Pocillopora,January,P1,0.586,2.819905213,11.9,4.22,5.822,2908684,1.32,0.86,0.13,0.42,39,22.66,24.41,4.19,1.15
186,09/01/2022,Pocillopora,January,P2,0.585,3.082568807,13.44,4.36,4.995,1189225,2.14,0.52,0.07,0.14, ,,49.461,46.107,
187,09/01/2022,Pocillopora,January,P3,0.641,4.709245742,19.355,4.11,5.271,2154387,1.42,0.66,0.11,0.18,25,25.49,41.214,18.234,2.15
188,09/01/2022,Pocillopora,January,P4,0.593,3.751633987,17.22,4.59,3.34,2721467,2.18,0.97,0.12,0.24,35,29.81,41.453,46.001,3.33
189,09/01/2022,Pocillopora,January,P5,0.577,3.122065728,13.3,4.26,4.167,2735466,1.6,0.81,0.2,0.51,43,,30.966,28.69,
190,09/01/2022,Pocillopora,January,P6,0.571,3.436936937,15.26,4.44,3.892,3873638,2.15,0.91,0.09,0.57,46,20.53,17.295,2.524,0.87
191,09/01/2022,Pocillopora,January,P7,0.556,1.833333333,6.82,3.72,3.892,2507266,1.17,1.07,0.18,0.5,48,21.8,32.61,4.151,1.32
192,09/01/2022,Pocillopora,January,P8,0.605,2.967839806,12.2275,4.12,4.719,2210716,0.9,0.74,0.13,0.17,27,20.57,0.06,27.8,2.24
